2025-09-24 01:39:15 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:39:15 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:39:15 | __main__                       | INFO     | Initialized SOCP Server with ID: 84616bdc-c78c-4056-b630-7b3f4ab7de49
2025-09-24 01:39:15 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:39:15 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 01:39:32 | server.server                  | INFO     | SOCP server starting on localhost:8765
2025-09-24 01:39:32 | client.client                  | INFO     | Connecting to server
2025-09-24 01:39:32 | shared.envelope                | DEBUG    | Validating envelope structure
2025-09-24 01:39:32 | server.server                  | INFO     | [server=server-8... user=user-123... conn=conn-001] User connected
2025-09-24 01:39:32 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:39:32 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:39:32 | __main__                       | INFO     | Initialized SOCP Server with ID: 09be77f8-dc2e-41f8-907d-a6f65246cdc2
2025-09-24 01:39:32 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:39:32 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 01:39:43 | server.server                  | INFO     | SOCP server starting on localhost:8765
2025-09-24 01:39:43 | client.client                  | INFO     | Connecting to server
2025-09-24 01:39:43 | shared.envelope                | DEBUG    | Validating envelope structure
2025-09-24 01:39:43 | server.server                  | INFO     | [server=server-8... user=user-123... conn=conn-001] User connected
2025-09-24 01:39:43 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:39:43 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:39:43 | __main__                       | INFO     | Initialized SOCP Server with ID: 5ed7961b-9dca-4127-aeb2-b2f546988f6b
2025-09-24 01:39:43 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:39:43 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 01:42:22 | server.server                  | INFO     | SOCP server starting on localhost:8765
2025-09-24 01:42:22 | client.client                  | INFO     | Connecting to server
2025-09-24 01:42:22 | shared.envelope                | DEBUG    | Validating envelope structure
2025-09-24 01:42:22 | server.server                  | INFO     | [server=server-8... user=user-123... conn=conn-001] User connected
2025-09-24 01:42:22 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:42:22 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:42:22 | __main__                       | INFO     | Initialized SOCP Server with ID: 80661f04-63db-452d-b58b-4e7b9625e79c
2025-09-24 01:42:22 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:42:22 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 01:42:31 | server.server                  | INFO     | SOCP server starting on localhost:8765
2025-09-24 01:42:31 | client.client                  | INFO     | Connecting to server
2025-09-24 01:42:31 | shared.envelope                | DEBUG    | Validating envelope structure
2025-09-24 01:42:31 | server.server                  | INFO     | [server=server-8... user=user-123... conn=conn-001] User connected
2025-09-24 01:42:31 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:42:31 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:42:31 | __main__                       | INFO     | Initialized SOCP Server with ID: 6c580903-eb03-430b-a449-4a4c198af472
2025-09-24 01:42:31 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:42:31 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 01:43:42 | server.server                  | INFO     | SOCP server starting on localhost:8765
2025-09-24 01:43:42 | client.client                  | INFO     | Connecting to server
2025-09-24 01:43:42 | shared.envelope                | DEBUG    | Validating envelope structure
2025-09-24 01:43:42 | server.server                  | INFO     | [server=server-8... user=user-123... conn=conn-001] User connected
2025-09-24 01:43:42 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:43:42 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:43:42 | __main__                       | INFO     | Initialized SOCP Server with ID: a28c9e9e-5e75-4f51-8dfc-d41f7aceb65e
2025-09-24 01:43:42 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:43:42 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 01:44:25 | server.server                  | INFO     | SOCP server starting on localhost:8765
2025-09-24 01:44:25 | client.client                  | INFO     | Connecting to server
2025-09-24 01:44:25 | shared.envelope                | DEBUG    | Validating envelope structure
2025-09-24 01:44:25 | server.server                  | INFO     | [server=server-8... user=user-123... conn=conn-001] User connected
2025-09-24 01:44:25 | client.client                  | ERROR    | [msg=USER_HELLO] Connection failed
2025-09-24 01:44:25 | shared.envelope                | WARNING  | [msg=SERVER_DELIVER] Invalid signature detected
2025-09-24 01:44:25 | __main__                       | INFO     | Initialized SOCP Server with ID: 31b551b9-7f7b-48af-9b78-722cea1c8011
2025-09-24 01:44:25 | __main__                       | INFO     | Starting SOCP server on localhost:8765
2025-09-24 01:44:25 | __main__                       | INFO     | SOCP server listening on ws://localhost:8765
2025-09-24 01:45:45 | server.server                  | INFO     | SOCP server starting on localhost:8765
2025-09-24 01:45:45 | client.client                  | INFO     | Connecting to server
